Massa-K VEM-150 (drv_)	90	2013-02-02 17:21:46	1970-01-01	1
AND_TM2655 (drv_)	300	2013-02-02 17:29:31	1970-01-01	1
OMNIKEY CardMan5x21 (drv_)	51	2013-02-02 17:48:02	1970-01-01	1
PluralReader (drv_)	51	2013-02-02 18:00:29	1970-01-01	1
BarCodeReader (drv_)	80	2013-02-02 18:00:30	1970-01-01	1
PluralReader (drv_)	51	2013-02-25 14:37:39	1970-01-01	1
PluralReader (drv_)	51	2013-02-25 14:38:45	1970-01-01	1
PluralReader (drv_)	51	2013-02-25 14:40:29	1970-01-01	1
PluralReader (drv_)	51	2013-02-25 14:41:32	1970-01-01	1
PluralReader (drv_)	51	2013-02-25 14:44:05	1970-01-01	1
1 (drv_)	51	2013-02-25 14:48:24	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-02-25 14:55:07	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-02-25 15:01:49	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-02-25 15:03:19	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-02-25 15:44:19	1970-01-01	1
AND_TM2655 (drv_)	300	2013-02-25 15:50:34	1970-01-01	1
PluralReader (drv_)	51	2013-02-25 15:52:50	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-03-06 02:11:56	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-03-06 02:14:28	1970-01-01	1
AND_TM2655 (drv_)	300	2013-03-06 02:15:54	1970-01-01	1
PluralReader (drv_)	51	2013-03-06 02:17:40	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-03-06 02:29:09	1970-01-01	1
PluralReader (drv_)	51	2013-03-06 03:44:43	1970-01-01	1
PluralReader (drv_)	51	2013-03-06 03:58:04	1970-01-01	1
AND_TM2655 (drv_)	300	2013-03-06 04:06:22	1970-01-01	1
Massa-K VEM-150 (drv_)	90	2013-03-06 04:15:52	1970-01-01	1
Innova_102 ()	7	2013-04-12 17:08:46	1970-01-01	1
Innova_115 (drv_)	7	2013-04-12 17:25:12	1970-01-01	1
Artis_123 (drv_)	26	2013-04-12 17:28:43	1970-01-01	1
Innova_103 (drv_)	7	2013-04-12 18:07:03	1970-01-01	1
Innova_104 (drv_)	7	2013-04-12 18:07:36	1970-01-01	1
Innova_101 (drv_)	7	2013-04-12 18:09:23	1970-01-01	1
Innova_105 (drv_)	7	2013-04-12 18:11:29	1970-01-01	1
Innova_106 (drv_)	7	2013-04-12 18:12:10	1970-01-01	1
Innova_107 (drv_)	7	2013-04-12 18:12:44	1970-01-01	1
Innova_108 (drv_)	7	2013-04-12 18:13:13	1970-01-01	1
Innova_109 (drv_)	7	2013-04-12 18:14:11	1970-01-01	1
Innova_110 (drv_)	7	2013-04-12 18:14:50	1970-01-01	1
Innova_111 (drv_)	7	2013-04-12 18:15:43	1970-01-01	1
Innova_112 (drv_)	7	2013-04-12 18:16:18	1970-01-01	1
Innova_113 (drv_)	26	2013-04-12 18:17:14	1970-01-01	1
Innova_114 (drv_)	7	2013-04-12 18:18:15	1970-01-01	1
Innova_116 (drv_)	7	2013-04-12 18:44:04	1970-01-01	1
Innova_117 (drv_)	7	2013-04-12 18:44:36	1970-01-01	1
Innova_118 (drv_)	7	2013-04-12 18:45:04	1970-01-01	1
Innova_119 (drv_)	7	2013-04-12 18:45:40	1970-01-01	1
Innova_01 (drv_)	7	2013-04-12 18:46:05	1970-01-01	1
Artis_121 (drv_)	7	2013-04-12 18:49:15	1970-01-01	1
Artis_122 (drv_)	26	2013-04-12 18:49:48	1970-01-01	1
Artis_124 (drv_)	26	2013-04-12 18:50:26	1970-01-01	1
Artis_125 (drv_)	7	2013-04-12 18:50:50	1970-01-01	1
Artis_126 (drv_)	26	2013-04-12 18:51:13	1970-01-01	1
Artis_127 (drv_)	26	2013-04-12 18:51:34	1970-01-01	1
Artis_128 (drv_)	26	2013-04-12 18:52:03	1970-01-01	1
Artis_129 (drv_)	26	2013-04-12 18:52:28	1970-01-01	1
Artis_130 (drv_)	26	2013-04-12 18:52:50	1970-01-01	1
CipherLab_1500_21 (drv_)	80	2013-04-16 13:13:14	1970-01-01	1
SyncAPI_card_reader_21 (drv_)	51	2013-04-16 13:13:16	1970-01-01	1
PluralReader (drv_)	51	2013-04-19 10:57:04	1970-01-01	1
CipherLab1500 (drv_)	80	2013-04-19 10:57:08	1970-01-01	1
SyncAPI_card_reader_22 (drv_)	51	2013-04-19 11:54:34	1970-01-01	1
CipherLab_1500_22 (drv_)	80	2013-04-19 11:54:37	1970-01-01	1
SmartCardReader (drv_)	51	2013-04-19 12:31:52	1970-01-01	1
CipherLab1500 (drv_)	80	2013-04-19 12:31:59	1970-01-01	1
PluralReader (drv_)	51	2013-04-19 12:39:05	1970-01-01	1
PluralReader (drv_)	51	2013-04-19 13:27:49	1970-01-01	1
CipherLab1500 (drv_)	80	2013-04-19 13:27:51	1970-01-01	1
BarCodeReader (drv_)	80	2013-04-19 14:02:33	1970-01-01	1
SyncAPI_card_reader_26 (drv_)	51	2013-04-19 14:45:40	1970-01-01	1
CipherLab_1500_26 (drv_)	80	2013-04-19 14:45:42	1970-01-01	1
SyncAPI_card_reader_28 (drv_)	51	2013-04-19 15:25:46	1970-01-01	1
CipherLab_1500_28 (drv_)	80	2013-04-19 15:25:49	1970-01-01	1
PluralReader (drv_)	51	2013-04-19 15:55:18	1970-01-01	1
CipherLab1500 (drv_)	80	2013-04-19 15:55:20	1970-01-01	1
PluralReader (drv_)	51	2013-04-19 16:26:15	1970-01-01	1
CipherLab1500 (drv_)	80	2013-04-19 16:26:22	1970-01-01	1
SmartCardReader (drv_)	51	2013-04-19 16:58:23	1970-01-01	1
BarCodeReader (drv_)	80	2013-04-19 16:58:27	1970-01-01	1
SmartCardReader (drv_)	51	2013-04-19 17:37:13	1970-01-01	1
BarCodeReader (drv_)	80	2013-04-19 17:37:14	1970-01-01	1
SyncAPI_card_reader_03 (drv_)	51	2013-04-19 18:04:13	1970-01-01	1
CipherLab_1500_03 (drv_)	80	2013-04-19 18:04:15	1970-01-01	1
SyncAPI_card_reader_04 (drv_)	51	2013-04-19 18:31:42	1970-01-01	1
CipherLab_1500_04 (drv_)	80	2013-04-19 18:31:44	1970-01-01	1
SyncAPI_card_reader_05 (drv_)	51	2013-04-19 19:01:37	1970-01-01	1
CipherLab_1500_05 (drv_)	80	2013-04-19 19:01:39	1970-01-01	1
SyncAPI_card_reader_06 (drv_)	51	2013-04-20 10:17:56	1970-01-01	1
CipherLab_1500_06 (drv_)	80	2013-04-20 10:17:58	1970-01-01	1
SyncAPI_card_reader_07 (drv_)	51	2013-04-20 10:30:24	1970-01-01	1
CipherLab_1500_07 (drv_)	80	2013-04-20 10:30:26	1970-01-01	1
SyncAPI_card_reader_08 (drv_)	51	2013-04-20 10:43:21	1970-01-01	1
CipherLab_1500_08 (drv_)	80	2013-04-20 10:43:25	1970-01-01	1
PluralReader (drv_)	51	2013-04-20 10:54:43	1970-01-01	1
CipherLab1500 (drv_)	80	2013-04-20 10:54:47	1970-01-01	1
SyncAPI_card_reader_20 (drv_)	51	2013-04-20 11:02:45	1970-01-01	1
CipherLab_1500_20 (drv_)	80	2013-04-20 11:02:46	1970-01-01	1
PluralReader (drv_)	51	2013-04-20 11:33:54	1970-01-01	1
CipherLab1500 (drv_)	80	2013-04-20 11:33:58	1970-01-01	1
SyncAPI_card_reader_18 (drv_)	51	2013-04-20 11:50:23	1970-01-01	1
